Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
182,12,6,54.59,MEDIUM,160,352,192,384,32,32,5124,11278,6148,12302,1024,1024,  16,1.00,0.20,0.3008
183,12,7,73.93,MEDIUM,192,352,224,384,32,32,6149,11278,7173,12302,1024,1024,  22,1.00,0.20,0.4804
184,12,8,96.29,HIGH,224,352,256,384,32,32,7173,11278,8197,12302,1024,1024,  42,1.00,1.00,0.7768
185,12,9,99.02,HIGH,256,352,288,384,32,32,8198,11278,9222,12302,1024,1024,  13,0.16,1.00,0.5203
186,12,10,99.71,HIGH,288,352,320,384,32,32,9223,11278,10247,12302,1024,1024,  17,0.16,1.00,0.5702
187,12,11,29.59,MEDIUM,320,352,352,384,32,32,10248,11278,11272,12302,1024,1024,  28,1.00,0.20,0.1418
188,12,12,0.00,NONE,352,352,384,384,32,32,11272,11278,12296,12302,1024,1024,   0,0.16,0.00,0.0000
189,12,13,0.00,NONE,384,352,416,384,32,32,12297,11278,13321,12302,1024,1024,   0,0.16,0.00,0.0000
190,12,14,0.00,NONE,416,352,448,384,32,32,13322,11278,14346,12302,1024,1024,   0,0.16,0.00,0.0000
191,12,15,0.00,NONE,448,352,480,384,32,32,14347,11278,15371,12302,1024,1024,   0,0.16,0.00,0.0000
192,12,16,0.00,NONE,480,352,499,384,19,32,15372,11278,15980,12302,608,1024,   0,0.16,0.00,0.0000
